""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"
"1"	1	0.742436134032906	-0.0428921665251254	-1.40133983684704	0.159176875958219	0.45860073791817	0.743012431403624	-0.360377521589397	-0.114272849150002	-0.0315574697684495	1.02163679114543
"2"	2	5.73496079453259	-0.592346480460842	0.700269663613294	-1.05112030355258	-0.383782610716296	0.477419286929059	-0.0446882404945799	-0.0645531195495238	-0.216901013450696	-0.739177177734671
"3"	3	1.75505796106532	-0.0751099575776613	0.230743478192017	-0.241681343493983	-0.432859714431687	0.25123119640164	-0.0423921986669298	-0.139887614147737	-0.354158983472735	0.386904726354407
"4"	4	0.735579957114533	0.20951923863031	-0.366584965419024	-0.482323935348539	-0.0846229640394449	0.645021816976369	-0.422888889582827	0.337519030328841	-0.0490982669685032	-0.0378434347175063
"5"	5	1.07957365714014	0.104586709095165	-0.515868892660363	-0.310049826428293	-0.00857745898887503	0.286345794778318	-0.245383971119299	-0.0351310788188131	0.227674741260708	0.116874699499458
"6"	6	0.982009626328946	0.10310985006392	-0.102268558284267	-0.23335985718295	-0.159906890140846	0.111810041815043	-0.184511298500001	0.0336208685208111	-0.12131376423873	0.223529831403866
"7"	7	0.896784506309778	0.0617421826906505	-0.351265931986271	0.103900331025943	0.0238132772222168	0.112144170617685	-0.103603602554648	-0.0975061270780862	-0.0248728617560113	-0.0718163755536075
"8"	8	1.21235983449966	0.0433685977570713	-0.253591022314503	-0.242535033440217	0.0846234713308514	0.055705725764856	-0.0919085869006809	0.0560174718312918	-0.0491113236546517	0.000165610928088932
"9"	9	1.17712884865701	-0.0514274744130673	-0.054798847846687	-0.0817195834964514	0.0223331291601066	-0.0288418199960139	-0.103071354040876	-0.0247512157354502	-0.067270230371505	0.0464661140553665
"10"	10	1.40237571528182	0.0340793645568189	0.0900225859135396	0.0999792439397426	-0.0787306874245399	-0.198163988254964	-0.156747036222367	-0.166298632854596	-0.172005072012543	-0.00936548157595003
